Category,Name,Price after Discount ($),Original Price ($),Discount Percentage,Brand,Screen Size (in),Hard Disk Size (GB),CPU Model,RAM (GB),Item URL
laptops,"Lenovo Essential IdeaPad • 36GB RAM • 1.5TB Storage(512GB SSD and 1TB Cloud Storage) • 15.6"" Full HD • Intel 4-core • Free 1 Year Office 365 • Intel 4-core • Wi-Fi 6 • Type-C • Windows 11 Home",449.99,499.99,10.0,Lenovo,15.6,512,Pentium,36,https://www.amazon.com/Lenovo-Essential-IdeaPad-Storage-Windows/dp/B0DCL89JW5/ref=sr_1_1?dib=eyJ2IjoiMSJ9.t7rbsdjKS_IMKc6MzX_SkeB_KWfHsxZodaw80jDCeIu1rl2kiOdwv13f2Outb8Y-hT-IVz1w7NdXTewzctXT9FTebpW55gdt_R5jDkCy2lAiohBptiSYhPlaagbOm9GalNlhnaO_KPO7jk1-f1RBbokHJ_h0b-rSWM5Y-7-lbZ7FSZ8av4Ou_W65sMTEHmCFUzx0lt4PHrHxlHrIJuzd2mwuozcyWGpvqIkNfK2wpZ0.9Zg6Jt2cng-86VpwzkZUZSPAOIePh59zuJI-imj9hHs&dib_tag=se&keywords=laptops&qid=1736152617&sr=8-1
laptops,"ApoloSign 15.6"" Full HD Laptop, 12GB RAM, 512GB SSD, Expandable to 1TB, Intel N5095 Processor, Dual-Band WiFi, 178° Viewing Angle, Dual Speakers-Gray",269.99,589.99,54.24,ApoloSign,15.6,512,Intel Centrino,12,https://www.amazon.com/ApoloSign-Expandable-Processor-Dual-Band-Speakers-Gray/dp/B0D984B43J/ref=sr_1_16?dib=eyJ2IjoiMSJ9.t7rbsdjKS_IMKc6MzX_SkeB_KWfHsxZodaw80jDCeIu1rl2kiOdwv13f2Outb8Y-hT-IVz1w7NdXTewzctXT9FTebpW55gdt_R5jDkCy2lAiohBptiSYhPlaagbOm9GalNlhnaO_KPO7jk1-f1RBbokHJ_h0b-rSWM5Y-7-lbZ7FSZ8av4Ou_W65sMTEHmCFUzx0lt4PHrHxlHrIJuzd2mwuozcyWGpvqIkNfK2wpZ0.9Zg6Jt2cng-86VpwzkZUZSPAOIePh59zuJI-imj9hHs&dib_tag=se&keywords=laptops&qid=1736152617&sr=8-16
laptops,"HP 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core, 8GB RAM, 192GB Storage(64GB eMMC+128GB Ghost Manta SD Card), 1 Year Office 365, USB C, Win 11 S",212.0,249.99,15.2,HP,14,64,Celeron N,8,https://www.amazon.com/HP-Students-Business-Quad-Core-Storage/dp/B0B2D77YB8/ref=sr_1_15?dib=eyJ2IjoiMSJ9.t7rbsdjKS_IMKc6MzX_SkeB_KWfHsxZodaw80jDCeIu1rl2kiOdwv13f2Outb8Y-hT-IVz1w7NdXTewzctXT9FTebpW55gdt_R5jDkCy2lAiohBptiSYhPlaagbOm9GalNlhnaO_KPO7jk1-f1RBbokHJ_h0b-rSWM5Y-7-lbZ7FSZ8av4Ou_W65sMTEHmCFUzx0lt4PHrHxlHrIJuzd2mwuozcyWGpvqIkNfK2wpZ0.9Zg6Jt2cng-86VpwzkZUZSPAOIePh59zuJI-imj9hHs&dib_tag=se&keywords=laptops&qid=1736152617&sr=8-15
laptops,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB eMMC + 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Black",309.0,399.0,22.56,HP,14,128,Celeron,16,https://www.amazon.com/HP-Stream-BrightView-N4120-Graphics/dp/B0CZKS6XHB/ref=sr_1_14?dib=eyJ2IjoiMSJ9.t7rbsdjKS_IMKc6MzX_SkeB_KWfHsxZodaw80jDCeIu1rl2kiOdwv13f2Outb8Y-hT-IVz1w7NdXTewzctXT9FTebpW55gdt_R5jDkCy2lAiohBptiSYhPlaagbOm9GalNlhnaO_KPO7jk1-f1RBbokHJ_h0b-rSWM5Y-7-lbZ7FSZ8av4Ou_W65sMTEHmCFUzx0lt4PHrHxlHrIJuzd2mwuozcyWGpvqIkNfK2wpZ0.9Zg6Jt2cng-86VpwzkZUZSPAOIePh59zuJI-imj9hHs&dib_tag=se&keywords=laptops&qid=1736152617&sr=8-14
laptops,"HP 15.6"" FHD Business & Student Laptop Computer, 64GB RAM 2TB SSD, 10-Core Intel Core i5, Windows 11 Pro Laptop with Microsoft Office Lifetime Suite, PLUSERA Earphones, Silver",0,799.99,0,HP,15.6,2000,Core i5,64,https://www.amazon.com/HP-Business-Computer-Microsoft-Earphones/dp/B0DQ9FVMKD/ref=sr_1_12?dib=eyJ2IjoiMSJ9.t7rbsdjKS_IMKc6MzX_SkeB_KWfHsxZodaw80jDCeIu1rl2kiOdwv13f2Outb8Y-hT-IVz1w7NdXTewzctXT9FTebpW55gdt_R5jDkCy2lAiohBptiSYhPlaagbOm9GalNlhnaO_KPO7jk1-f1RBbokHJ_h0b-rSWM5Y-7-lbZ7FSZ8av4Ou_W65sMTEHmCFUzx0lt4PHrHxlHrIJuzd2mwuozcyWGpvqIkNfK2wpZ0.9Zg6Jt2cng-86VpwzkZUZSPAOIePh59zuJI-imj9hHs&dib_tag=se&keywords=laptops&qid=1736152617&sr=8-12
laptops,ASUS E410 Intel Celeron N4020 4GB 64GB 14-Inch HD LED Win 10 Laptop (Star Black),0,154.0,0,ASUS,14,64,Celeron,4,https://www.amazon.com/Intel-Celeron-N4020-14-Inch-Laptop/dp/B09YRY6QCX/ref=sr_1_11?dib=eyJ2IjoiMSJ9.t7rbsdjKS_IMKc6MzX_SkeB_KWfHsxZodaw80jDCeIu1rl2kiOdwv13f2Outb8Y-hT-IVz1w7NdXTewzctXT9FTebpW55gdt_R5jDkCy2lAiohBptiSYhPlaagbOm9GalNlhnaO_KPO7jk1-f1RBbokHJ_h0b-rSWM5Y-7-lbZ7FSZ8av4Ou_W65sMTEHmCFUzx0lt4PHrHxlHrIJuzd2mwuozcyWGpvqIkNfK2wpZ0.9Zg6Jt2cng-86VpwzkZUZSPAOIePh59zuJI-imj9hHs&dib_tag=se&keywords=laptops&qid=1736152617&sr=8-11
laptops,"HP Pavilion 15.6"" FHD (1920 x 1080) Laptop • Intel Core 8-Core CPU • 32GB RAM • 1TB Storage (512GB SSD + withHP P500 512GB External SSD) • Fast Wi-Fi 6 • Fingerprint Reader • Windows 11",0,599.0,0,HP,15.6,1000,Intel Core i3,32,https://www.amazon.com/HP-Pavilion-Storage-External-Fingerprint/dp/B0DN7YC7R8/ref=sr_1_10?dib=eyJ2IjoiMSJ9.t7rbsdjKS_IMKc6MzX_SkeB_KWfHsxZodaw80jDCeIu1rl2kiOdwv13f2Outb8Y-hT-IVz1w7NdXTewzctXT9FTebpW55gdt_R5jDkCy2lAiohBptiSYhPlaagbOm9GalNlhnaO_KPO7jk1-f1RBbokHJ_h0b-rSWM5Y-7-lbZ7FSZ8av4Ou_W65sMTEHmCFUzx0lt4PHrHxlHrIJuzd2mwuozcyWGpvqIkNfK2wpZ0.9Zg6Jt2cng-86VpwzkZUZSPAOIePh59zuJI-imj9hHs&dib_tag=se&keywords=laptops&qid=1736152617&sr=8-10
laptops,"Dell Inspiron Touchscreen Laptop, 15.6"" Business & Student Laptop Computer, Windows 11 Pro Laptop 32GB RAM 1TB SSD, Intel i5-1155G7 Processor, Full HD IPS Display, Numeric Keypad, HDMI, Carbon Black",494.99,649.99,23.85,Dell,15.6,1000,Core i5,32,https://www.amazon.com/Dell-Inspiron-Touchscreen-i5-1155G7-Processor/dp/B0CTPCTW66/ref=sr_1_9?dib=eyJ2IjoiMSJ9.t7rbsdjKS_IMKc6MzX_SkeB_KWfHsxZodaw80jDCeIu1rl2kiOdwv13f2Outb8Y-hT-IVz1w7NdXTewzctXT9FTebpW55gdt_R5jDkCy2lAiohBptiSYhPlaagbOm9GalNlhnaO_KPO7jk1-f1RBbokHJ_h0b-rSWM5Y-7-lbZ7FSZ8av4Ou_W65sMTEHmCFUzx0lt4PHrHxlHrIJuzd2mwuozcyWGpvqIkNfK2wpZ0.9Zg6Jt2cng-86VpwzkZUZSPAOIePh59zuJI-imj9hHs&dib_tag=se&keywords=laptops&qid=1736152617&sr=8-9
laptops,"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 8GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",0,206.88,0,HP,14,64,Celeron,8,https://www.amazon.com/HP-Portable-Student-Business-Quad-Core/dp/B0CPL25J3W/ref=sr_1_8?dib=eyJ2IjoiMSJ9.t7rbsdjKS_IMKc6MzX_SkeB_KWfHsxZodaw80jDCeIu1rl2kiOdwv13f2Outb8Y-hT-IVz1w7NdXTewzctXT9FTebpW55gdt_R5jDkCy2lAiohBptiSYhPlaagbOm9GalNlhnaO_KPO7jk1-f1RBbokHJ_h0b-rSWM5Y-7-lbZ7FSZ8av4Ou_W65sMTEHmCFUzx0lt4PHrHxlHrIJuzd2mwuozcyWGpvqIkNfK2wpZ0.9Zg6Jt2cng-86VpwzkZUZSPAOIePh59zuJI-imj9hHs&dib_tag=se&keywords=laptops&qid=1736152617&sr=8-8
laptops,"Lenovo New V15 Essential Laptop | Intel Multitasking 4-core Processor | 32GB RAM | 1TB SSD | 15.6"" FHD 1080p Display | Ethernet RJ-45 | Rugged Design | Windows 11 Pro | WOWPC Recovery USB",0,599.99,0,Lenovo,15.6,1000,Celeron,32,https://www.amazon.com/Lenovo-V15-Essential-Multitasking-Processor/dp/B0DCH5LZJR/ref=sr_1_7?dib=eyJ2IjoiMSJ9.t7rbsdjKS_IMKc6MzX_SkeB_KWfHsxZodaw80jDCeIu1rl2kiOdwv13f2Outb8Y-hT-IVz1w7NdXTewzctXT9FTebpW55gdt_R5jDkCy2lAiohBptiSYhPlaagbOm9GalNlhnaO_KPO7jk1-f1RBbokHJ_h0b-rSWM5Y-7-lbZ7FSZ8av4Ou_W65sMTEHmCFUzx0lt4PHrHxlHrIJuzd2mwuozcyWGpvqIkNfK2wpZ0.9Zg6Jt2cng-86VpwzkZUZSPAOIePh59zuJI-imj9hHs&dib_tag=se&keywords=laptops&qid=1736152617&sr=8-7
